songId,title,genre
1,MALICE MIZER,metal
1,MALICE MIZER,metal
1,MALICE MIZER,metal
2,Diary of Dreams,alternativemetal
2,Diary of Dreams,alternativemetal
2,Diary of Dreams,alternativemetal
2,Diary of Dreams,alternativemetal
2,Diary of Dreams,alternativemetal
2,Diary of Dreams,alternativemetal
2,Diary of Dreams,alternativemetal
2,Diary of Dreams,alternativemetal
2,Diary of Dreams,alternativemetal
2,Diary of Dreams,alternativemetal
2,Diary of Dreams,alternativemetal
2,Diary of Dreams,alternativemetal
3,Carpathian Forest,gothrock
3,Carpathian Forest,gothrock
3,Carpathian Forest,gothrock
4,Moi dix Mois,blackmetal
4,Moi dix Mois,blackmetal
5,Bella Morte,deathmetal
5,Bella Morte,deathmetal
6,Moonspell,industrialmetal
6,Moonspell,industrialmetal
6,Moonspell,industrialmetal
6,Moonspell,industrialmetal
6,Moonspell,industrialmetal
6,Moonspell,industrialmetal
6,Moonspell,industrialmetal
6,Moonspell,industrialmetal
6,Moonspell,industrialmetal
6,Moonspell,industrialmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
7,Marilyn Manson,gothicmetal
8,DIR EN GREY,terrorebm
8,DIR EN GREY,terrorebm
8,DIR EN GREY,terrorebm
8,DIR EN GREY,terrorebm
8,DIR EN GREY,terrorebm
8,DIR EN GREY,terrorebm
8,DIR EN GREY,terrorebm
8,DIR EN GREY,terrorebm
8,DIR EN GREY,terrorebm
8,DIR EN GREY,terrorebm
8,DIR EN GREY,terrorebm
8,DIR EN GREY,terrorebm
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
9,Combichrist,electroindustrial
10,Grendel,harshebm
10,Grendel,harshebm
10,Grendel,harshebm
10,Grendel,harshebm
10,Grendel,harshebm
10,Grendel,harshebm
10,Grendel,harshebm
10,Grendel,harshebm
10,Grendel,harshebm
11,Agonoize,postblackmetal
11,Agonoize,postblackmetal
11,Agonoize,postblackmetal
11,Agonoize,postblackmetal
11,Agonoize,postblackmetal
11,Agonoize,postblackmetal
12,Behemoth,aggrotech
12,Behemoth,aggrotech
12,Behemoth,aggrotech
12,Behemoth,aggrotech
12,Behemoth,aggrotech
12,Behemoth,aggrotech
12,Behemoth,aggrotech
12,Behemoth,aggrotech
12,Behemoth,aggrotech
12,Behemoth,aggrotech
12,Behemoth,aggrotech
12,Behemoth,aggrotech
12,Behemoth,aggrotech
12,Behemoth,aggrotech
12,Behemoth,aggrotech
12,Behemoth,aggrotech
12,Behemoth,aggrotech
12,Behemoth,aggrotech
12,Behemoth,aggrotech
13,Hocico,chillout
13,Hocico,chillout
13,Hocico,chillout
13,Hocico,chillout
13,Hocico,chillout
13,Hocico,chillout
13,Hocico,chillout
13,Hocico,chillout
13,Hocico,chillout
13,Hocico,chillout
15,Dimmu Borgir,downtempo
